#;Release;Date exact;Release source;Card;Set code;Number;Edition;Variant;Variant name;Set / expansion;Rarity;Artist;Known finishes;Finish evidence;Langs;EN;FR;DE;IT;ES;PT;NL;PL;RU;JA;KO;ZH-T;ZH-S;ID;TH;Cardmarket URL;Row ID;Coverage version;Coverage denominator;Row count delta;Dropped language relationships;Legacy scalar dates overwritten;Unsourced presented as reviewed exact;Migration disposition;Terminal state;Date provenance disposition;Release event IDs;Supported date languages;Needs-evidence date languages;Legacy row SHA-256;Reconciliation warning
172;2025-01-17;yes;;Snorlax ex;PRE;076;—;base;;Prismatic Evolutions;Double Rare;N-DESIGN Inc.;holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Snorlax-ex-PRE076;pre-076-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English, French, German, Italian, Spanish, Portuguese;sha256:d55a7603f62d6643aedb0064e1b088f19bf4f636609d51b5fd72a8dee5d107a3;Legacy scalar has no row-level source and is not a reviewed release event.
173;2025-01-24;yes;;Hop's Snorlax;sv9;075;—;base;;Battle Partners;Rare;;non-holo;confirmed, marketplace-claimed;3;;;;;;;;;;X;X;X;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Battle-Partners/Hops-Snorlax-sv9075;sv9-075-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;Japanese, Korean, T-Chinese;sha256:5b22bb04c1d27adea11c50becc07e03a5240a36efa16b11aa128b0d1ec4bc7f7;Legacy scalar has no row-level source and is not a reviewed release event.
174;~2025;approx;;Snorlax ex;xPRE;076;—;V1;"""Prismatic Evolutions"" stamp, Snorlax ex & Blissey ex Special Collection";Prismatic Evolutions: Additionals;Promo;N-DESIGN Inc.;holo;confirmed;5;X;X;X;X;X;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V1-xPRE076;xpre-076-v1-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English, French, German, Italian, Spanish;sha256:fe8caf69137740120689e35d745744d229d00902fecbda193f907c1d68c2726f;Legacy scalar has no row-level source and is not a reviewed release event.
175;~2025;approx;;Snorlax ex;xPRE;076;—;V2;Jumbo / oversized printing, Snorlax ex & Blissey ex Special Collection;Prismatic Evolutions: Additionals;Oversized;N-DESIGN Inc.;holo;confirmed;5;X;X;X;X;X;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V2-xPRE076;xpre-076-v2-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English, French, German, Italian, Spanish;sha256:b5f8587be1fcc3069485d144dab7765732c28ca5c4b10d97fe7c835a7fe23e7a;Legacy scalar has no row-level source and is not a reviewed release event.
176;2025-02-28;yes;;Snorlax;CSVE1C;093;—;base;;Battle Party Dream Together;Fixed;;;pending;1;;;;;;;;;;;;;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Battle-Party-Dream-Together/Snorlax-CSVE1C093;csve1c-093-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;S-Chinese;sha256:b91d9cebd68904bb7d94203451410bfc2dbc1b2902fc5541e7de3777b64326a9;Legacy scalar has no row-level source and is not a reviewed release event.
177;~2025;approx;;Hop's Snorlax;SVP;184;—;V1;;SV Black Star Promos;Promo;OKACHEKE;holo;confirmed, pending;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/SV-Black-Star-Promos/Hops-Snorlax-V1-SVP184;svp-184-v1-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English, French, German, Italian, Spanish, Portuguese;sha256:7e28ada4c5310820a9ac40a638d3543c2f7c69737fc345df93b8a881bb6333a6;Legacy scalar has no row-level source and is not a reviewed release event.
178;~2025;approx;;Hop's Snorlax;SVP;184;—;V2;;SV Black Star Promos;Promo;OKACHEKE;holo;confirmed, pending;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/SV-Black-Star-Promos/Hops-Snorlax-V2-SVP184;svp-184-v2-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English, French, German, Italian, Spanish, Portuguese;sha256:f5622954fba1dc2e7a6a84746727527636edb0a8b35950bbdb5bc988a2545ab9;Legacy scalar has no row-level source and is not a reviewed release event.
179;2025-03-28;yes;;Hop's Snorlax;JTG;117;—;base;;Journey Together;Rare;GOSSAN;holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together/Hops-Snorlax-JTG117;jtg-117-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English, French, German, Italian, Spanish, Portuguese;sha256:292b00346acfc24dd2964744eaada97be28b06f99d9f994835f269424aa65c5c;Legacy scalar has no row-level source and is not a reviewed release event.
180;~2025;approx;;Hop's Snorlax;xJTG;117;—;V1;"""Journey Together"" stamp (gift with purchase, Malaysia/Philippines/Singapore)";Journey Together: Additionals;Promo;GOSSAN;holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together-Additionals/Hops-Snorlax-V1-xJTG117;xjtg-117-v1-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English;sha256:6e3e3197960fdad93fa5da82afe06ea6df115ac88eacb86bf170ff9a3387b3e5;Legacy scalar has no row-level source and is not a reviewed release event.
181;~2025;approx;;Hop's Snorlax;xJTG;117;—;V2;"""GameStop"" stamp (gift with purchase, USA/Canada)";Journey Together: Additionals;Promo;GOSSAN;holo;confirmed, pending;2;X;X;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Journey-Together-Additionals/Hops-Snorlax-V2-xJTG117;xjtg-117-v2-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English, French;sha256:e6cb994a6af74945393e70e883694c3ad9554d33990a01f0908cb91fc60f637f;Legacy scalar has no row-level source and is not a reviewed release event.
