#;Release;Date exact;Card;Set code;Number;Edition;Variant;Variant name;Set / expansion;Rarity;Artist;Known finishes;Finish evidence;Langs;EN;FR;DE;IT;ES;PT;NL;PL;RU;JA;KO;ZH-T;ZH-S;ID;TH;Cardmarket URL
96;2021-03-19;yes;Snorlax;s5a;93;—;base;;Matchless Fighters;Secret Rare;;reverse-holo;marketplace-claimed;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/Matchless-Fighter/Snorlax-s5a93
97;2021-06-18;yes;Snorlax;CRE;224;—;base;;Chilling Reign;Secret Rare;Saki Hayashiro;holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Chilling-Reign/Snorlax
98;~2021;approx;Snorlax;SWSH;119;—;base;;SWSH Black Star Promos;Promo;Yuya Oka;holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Snorlax-V3
99;2021-07-09;yes;Snorlax;sH;038;—;base;;Sword & Shield Family Pokémon Card Game;Fixed;Oswaldo KATO;non-holo;confirmed, pending;4;;;;;;;;;;X;X;X;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Sword-Shield-Family-Pokemon-Card-Game/Snorlax
100;~2021;approx;Snorlax;PKMTCH S-P;S-P 145;—;base;;Traditional Chinese Products;Promo;;;pending;1;;;;;;;;;;;;X;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Traditional-Chinese-Products/Snorlax-PKMTCHS-P-145
101;2021-11-12;yes;Snorlax;FST;206;—;base;;Fusion Strike;Common;Oswaldo KATO;non-holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Fusion-Strike/Snorlax
102;2021-12-03;yes;Snorlax;s8b;126;—;base;;VMAX Climax;Fixed;Narumi Sato;non-holo, reverse-holo;confirmed, marketplace-claimed;5;;;;;;;;;;X;X;X;;X;X;https://www.cardmarket.com/en/Pokemon/Products/Singles/VMAX-Climax/Snorlax
103;2021-12-17;yes;Snorlax;sI100;341;—;V1;;Start Deck 100;Fixed;Oswaldo KATO;reverse-holo;marketplace-claimed;4;;;;;;;;;;X;X;X;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Start-Deck-100/Snorlax-V1-sI100341
104;2021-12-17;yes;Snorlax;sI100;342;—;V2;;Start Deck 100;Fixed;Asako Ito;reverse-holo;marketplace-claimed;4;;;;;;;;;;X;X;X;X;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Start-Deck-100/Snorlax-V2-sI100342
105;2022-03;yes;Snorlax;sN;008;—;base;;Start Deck 100 CoroCoro Comic Version;Fixed;Oswaldo KATO;non-holo;confirmed, pending;3;;;;;;;;;;X;X;X;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Start-Deck-100-CoroCoro-Comic-Version/Snorlax-sN008
