#;Release;Date exact;Card;Set code;Number;Edition;Variant;Variant name;Set / expansion;Rarity;Artist;Known finishes;Finish evidence;Langs;EN;FR;DE;IT;ES;PT;NL;PL;RU;JA;KO;ZH-T;ZH-S;ID;TH;Cardmarket URL
1;~1997;approx;Snorlax;PJU;;—;base;;Pokémon Jungle;Holo Rare;;holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Pokemon-Jungle/Snorlax
2;1997-12;yes;Hungry Snorlax;UNP;;—;base;;Unnumbered Promos;Promo;;;pending;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Unnumbered-Promos/Hungry-Snorlax
3;~1998;approx;Snorlax;EXS;;—;base;;Expansion Sheet;Uncommon;;non-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Expansion-Sheet/Snorlax-EXS
4;~1999;approx;Rocket's Snorlax;G2;;—;base;;Challenge from the Darkness;Rare;;non-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Challenge-from-the-Darkness/Rockets-Snorlax-CFTD
5;1999-06-16;yes;Snorlax;JU;11;1st Edition;V1;;Jungle;Holo Rare;Ken Sugimori;holo;confirmed, marketplace-claimed;7;X;X;X;X;X;X;X;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Jungle/Snorlax-V1-JU11
6;1999-06-16;yes;Snorlax;JU;11;Unlimited;V1;;Jungle;Holo Rare;Ken Sugimori;holo;confirmed, marketplace-claimed;7;X;X;X;X;X;X;X;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Jungle/Snorlax-V1-JU11
7;1999-06-16;yes;Snorlax;JU;27;1st Edition;V2;;Jungle;Rare;Ken Sugimori;non-holo;confirmed, marketplace-claimed;7;X;X;X;X;X;X;X;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Jungle/Snorlax-V2-JU27
8;1999-06-16;yes;Snorlax;JU;27;Unlimited;V2;;Jungle;Rare;Ken Sugimori;non-holo;confirmed, marketplace-claimed;7;X;X;X;X;X;X;X;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Jungle/Snorlax-V2-JU27
9;2000-02-24;yes;Snorlax;B2;30;Unlimited;base;;Base Set 2;Rare;Ken Sugimori;non-holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Base-Set-2/Snorlax-B230
10;2000-08-14;yes;Rocket's Snorlax;GH;33;1st Edition;base;;Gym Heroes;Rare;Shin-ichi Yoshida;non-holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Gym-Heroes/Rockets-Snorlax-GH33
11;2000-08-14;yes;Rocket's Snorlax;GH;33;Unlimited;base;;Gym Heroes;Rare;Shin-ichi Yoshida;non-holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Gym-Heroes/Rockets-Snorlax-GH33
12;~2002;approx;Snorlax;EC5;062;1st Edition;base;;Mysterious Mountains;Common;;non-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Mysterious-Mountains/Snorlax-EC5062
13;~2002;approx;Snorlax;EC5;062;Unlimited;base;;Mysterious Mountains;Common;;non-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Mysterious-Mountains/Snorlax-EC5062
14;2002-05-24;yes;Snorlax;LC;64;Unlimited;base;;Legendary Collection;Uncommon;Ken Sugimori;non-holo, reverse-holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Legendary-Collection/Snorlax-LC64
15;2002-08;yes;Snorlax;WP;49;—;base;;Wizards Black Star Promos;Promo;Craig Turvey;non-holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Wizards-Black-Star-Promos/Snorlax-WP49
16;2003-05-12;yes;Snorlax;SK;100;—;base;;Skyridge;Common;Naoyo Kimura;non-holo, reverse-holo;confirmed, marketplace-claimed;3;X;;X;X;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Skyridge/Snorlax-SK100
17;~2004;approx;Snorlax;PCG1;074;1st Edition;base;;Flight of Legends;Holo Rare;;non-holo, holo;confirmed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Flight-of-Legends/Snorlax-PCG1074
18;~2004;approx;Snorlax;PCG1;074;Unlimited;base;;Flight of Legends;Holo Rare;;non-holo, holo;confirmed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Flight-of-Legends/Snorlax-PCG1074
19;~2004;approx;Rocket's Snorlax ex;PCG3;062;1st Edition;base;;Rocket Gang Strikes Back;Ultra Rare;;non-holo;confirmed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Rocket-Gang-Strikes-Back/Rockets-Snorlax-ex-PCG3062
20;~2004;approx;Rocket's Snorlax ex;PCG3;062;Unlimited;base;;Rocket Gang Strikes Back;Ultra Rare;;non-holo;confirmed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Rocket-Gang-Strikes-Back/Rockets-Snorlax-ex-PCG3062
21;2004-09-01;yes;Snorlax;FL;15;—;base;;EX FireRed & LeafGreen;Holo Rare;Kagemaru Himeno;holo, reverse-holo;confirmed, marketplace-claimed;4;X;X;X;X;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/EX-FireRed-LeafGreen/Snorlax-FL15
22;2004-11-01;yes;Rocket's Snorlax ex;TRR;104;—;base;;EX Team Rocket Returns;Ultra Rare;Mitsuhiro Arita;holo;confirmed, pending;2;X;;;;;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/EX-Team-Rocket-Returns/Rockets-Snorlax-ex-TRR104
23;~2006;approx;Snorlax δ Delta Species;PCG9;001;1st Edition;base;;Offense and Defense of the Furthest Ends;Holo Rare;;holo;confirmed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Offense-and-Defense-of-the-Furthest-Ends/Snorlax-Delta-Species-PCG9001
24;~2006;approx;Snorlax δ Delta Species;PCG9;001;Unlimited;base;;Offense and Defense of the Furthest Ends;Holo Rare;;holo;confirmed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Offense-and-Defense-of-the-Furthest-Ends/Snorlax-Delta-Species-PCG9001
25;~2006;approx;Snorlax Lv.35;DP1;;1st Edition;base;;Space-Time Creation;Uncommon;Ken Sugimori;non-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Space-Time-Creation/Snorlax-Lv35-DP1
26;~2006;approx;Snorlax Lv.35;DP1;;Unlimited;base;;Space-Time Creation;Uncommon;Ken Sugimori;non-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Space-Time-Creation/Snorlax-Lv35-DP1
27;2006-11-01;yes;Snorlax δ Delta Species;DF;10;—;base;;EX Dragon Frontiers;Holo Rare;Masakazu Fukuda;holo, reverse-holo;confirmed;4;X;X;X;X;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/EX-Dragon-Frontiers/Snorlax-Delta-Species-DF10
28;2007-05-01;yes;Snorlax Lv.35;DP;37;—;base;;Diamond & Pearl;Rare;Ken Sugimori;non-holo, reverse-holo;confirmed, marketplace-claimed;7;X;X;X;X;X;X;;X;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Diamond-Pearl/Snorlax-Lv35-DP37
29;2008-10;yes;Snorlax Lv.37;DP-P;126;—;base;;DP Promos;Promo;Kagemaru Himeno;;pending;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/DP-Promos/Snorlax-Lv37
30;2008-12;yes;Snorlax Lv.X;DP-P;127;—;base;;DP Promos;Promo;Shizurow レベルアップ LV. X;;pending;2;;;;;;;;;;X;X;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/DP-Promos/Snorlax-LvX
31;~2009;approx;Snorlax Lv.40;Pt2;070;1st Edition;base;;Bonds to the End of Time;Common;Kouki Saitou;non-holo, reverse-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Bonds-to-the-End-of-Time/Snorlax-Lv40-Pt2070
32;~2009;approx;Snorlax Lv.40;Pt2;070;Unlimited;base;;Bonds to the End of Time;Common;Kouki Saitou;non-holo, reverse-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Bonds-to-the-End-of-Time/Snorlax-Lv40-Pt2070
33;2009-05-16;yes;Snorlax LV.X;RR;111;—;base;;Rising Rivals;Ultra Rare;Shizurow;holo, reverse-holo;confirmed, marketplace-claimed;4;X;X;X;X;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Rising-Rivals/Snorlax-LVX-RR111
34;2009-05-16;yes;Snorlax Lv.37;RR;33;—;V1;;Rising Rivals;Rare;Kagemaru Himeno;non-holo, reverse-holo;confirmed, marketplace-claimed;4;X;X;X;X;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Rising-Rivals/Snorlax-Lv37-V1-RR33
35;2009-05-16;yes;Snorlax Lv.37;RR;33;—;V2;;Rising Rivals;Promo;Kagemaru Himeno;holo;confirmed, pending;4;X;X;X;X;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Rising-Rivals/Snorlax-Lv37-V2-RR33
36;2009-05-16;yes;Snorlax Lv.40;RR;81;—;base;;Rising Rivals;Common;Kouki Saitou;non-holo, reverse-holo;confirmed, marketplace-claimed;4;X;X;X;X;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Rising-Rivals/Snorlax-Lv40-RR81
37;~2010;approx;Snorlax;LL;028;Unlimited;base;;Lost Link;Holo Rare;Kent Kanetsuna;holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Link/Snorlax-LL028
38;2011-02-09;yes;Snorlax;CL;33;—;V1;;Call of Legends;Rare;Kent Kanetsuna;non-holo, reverse-holo;confirmed, marketplace-claimed;4;X;X;X;X;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Call-of-Legends/Snorlax-V1-CL33
39;2011-02-09;yes;Snorlax;CL;33;—;V2;;Call of Legends;Promo;Kent Kanetsuna;holo;confirmed, pending;4;X;X;X;X;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Call-of-Legends/Snorlax-V2-CL000
40;~2012;approx;Snorlax;HSZ;027;—;base;;National Pokédex Beginning Set;Fixed;Ken Sugimori;;pending;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/National-Pokedex-Beginning-Set/Snorlax
41;~2012;approx;Snorlax;BW7;055;1st Edition;base;;Plasma Gale;Uncommon;5ban Graphics;non-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Plasma-Gale/Snorlax-BW7055
42;~2012;approx;Snorlax;BW7;055;Unlimited;base;;Plasma Gale;Uncommon;5ban Graphics;non-holo;marketplace-claimed;2;;;;;;;;;;X;X;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Plasma-Gale/Snorlax-BW7055
43;2012-11-07;yes;Snorlax;BCR;109;—;base;;Boundaries Crossed;Uncommon;Ken Sugimori;non-holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Boundaries-Crossed/Snorlax-BCR109
44;2013-02;yes;Snorlax;BW-P;207;—;base;;BW Promos;Promo;5ban Graphics;reverse-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/BW-Promos/Snorlax-BW-P207
45;2013-02-06;yes;Snorlax;PLS;101;—;base;;Plasma Storm;Rare;5ban Graphics;non-holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Plasma-Storm/Snorlax-PLS101
46;2013-11-08;yes;Snorlax;KSS;26;—;base;;XY Kalos Starter Set;Common;Naoki Saito;non-holo, reverse-holo;confirmed, marketplace-claimed;7;X;X;X;X;X;X;;;X;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/XY-Kalos-Starter-Set/Snorlax-KSS26
47;~2013;approx;Snorlax;HXY;026;—;base;;XY Beginning Set;Fixed;Naoki Saito;;pending;2;;;;;;;;;;X;X;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/XY-Beginning-Set/Snorlax
48;~2014;approx;Snorlax;XY2;066;1st Edition;base;;Wild Blaze;Uncommon;Mitsuhiro Arita;non-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Wild-Blaze/Snorlax-XY2066
49;~2014;approx;Snorlax;XY2;066;Unlimited;base;;Wild Blaze;Uncommon;Mitsuhiro Arita;non-holo;marketplace-claimed;2;;;;;;;;;;X;X;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Wild-Blaze/Snorlax-XY2066
50;2014-05-07;yes;Snorlax;FLF;80;—;V1;;Flashfire;Rare;Mitsuhiro Arita;non-holo, reverse-holo;confirmed, marketplace-claimed;7;X;X;X;X;X;X;;;X;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Flashfire/Snorlax-V1-FLF80
51;2014-05-07;yes;Snorlax;FLF;80;—;V2;;Flashfire;Promo;Mitsuhiro Arita;;pending;7;X;X;X;X;X;X;;;X;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Flashfire/Snorlax-V2-FLF1
52;2015-07;yes;Snorlax;XY-P;149;—;V1;;XY Promos;Promo;;reverse-holo;marketplace-claimed;2;;;;;;;;;;X;X;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/XY-Promos/Snorlax-V1-XY-P149
53;2015-11-04;yes;Snorlax;BKT;118;—;base;;BREAKthrough;Uncommon;Kouki Saitou;non-holo, reverse-holo;confirmed, marketplace-claimed;7;X;X;X;X;X;X;;;X;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/BREAKthrough/Snorlax-BKT118
54;2016-02-22;yes;Snorlax;GEN;58;—;base;;Generations;Rare;Mitsuhiro Arita;non-holo, reverse-holo;confirmed, marketplace-claimed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Generations/Snorlax-GEN58
55;~2016;approx;Snorlax;XY10;057;1st Edition;base;;Awakening Psychic King;Common;Tomokazu Komiya;non-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Awakening-Psychic-King/Snorlax
56;~2016;approx;Snorlax;XY10;057;Unlimited;base;;Awakening Psychic King;Common;Tomokazu Komiya;non-holo;marketplace-claimed;2;;;;;;;;;;X;X;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Awakening-Psychic-King/Snorlax
57;2016-05-02;yes;Snorlax;FCO;77;—;base;;Fates Collide;Rare;Tomokazu Komiya;non-holo, reverse-holo;confirmed;6;X;X;X;X;X;X;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Fates-Collide/Snorlax-FCO77
58;~2016;approx;Snorlax;20th;047;Unlimited;base;;BREAK Starter Pack;Fixed;Mitsuhiro Arita;reverse-holo;marketplace-claimed;2;;;;;;;;;;X;X;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/BREAK-Starter-Pack/Snorlax-20th047
59;2016-09-01;yes;Snorlax;XY-P;261;—;V2;;XY Promos;Promo;;reverse-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/XY-Promos/Snorlax-V2-XY-P261
60;~2016;approx;Snorlax GX;SM-P;1;—;base;;Sun & Moon Promos;Promo;5ban Graphics;;pending;2;;;;;;;;;;X;X;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Sun-Moon-Promos/Snorlax-GX-SM-P1
